Infografia,Provincia,Fallecidos,Fecha_reporte,Hora_reporte
43,Orellana,0,2020/04/07 00:00:00,17:00
43,Pastaza,0,2020/04/07 00:00:00,17:00
43,Sucumbíos,1,2020/04/07 00:00:00,17:00
43,Zamora Chinchipe,0,2020/04/07 00:00:00,17:00
43,Galápagos,1,2020/04/07 00:00:00,17:00
44,Azuay,6,2020/04/08 00:00:00,07:00
44,Bolívar,1,2020/04/08 00:00:00,07:00
44,Cañar,2,2020/04/08 00:00:00,07:00
44,Carchi,0,2020/04/08 00:00:00,07:00
44,Chimborazo,13,2020/04/08 00:00:00,07:00
44,Cotopaxi,4,2020/04/08 00:00:00,07:00
44,Imbabura,2,2020/04/08 00:00:00,07:00
44,Loja,0,2020/04/08 00:00:00,07:00
44,Pichincha,15,2020/04/08 00:00:00,07:00
44,Santo Domingo de los Tsáchilas,4,2020/04/08 00:00:00,07:00
44,Tungurahua,3,2020/04/08 00:00:00,07:00
44,El Oro,15,2020/04/08 00:00:00,07:00
44,Esmeraldas,2,2020/04/08 00:00:00,07:00
44,Guayas,144,2020/04/08 00:00:00,07:00
44,Los Ríos,11,2020/04/08 00:00:00,07:00
44,Manabí,14,2020/04/08 00:00:00,07:00
44,Santa Elena,4,2020/04/08 00:00:00,07:00
44,Morona Santiago,0,2020/04/08 00:00:00,07:00
44,Napo,0,2020/04/08 00:00:00,07:00
44,Orellana,0,2020/04/08 00:00:00,07:00
44,Pastaza,0,2020/04/08 00:00:00,07:00
44,Sucumbíos,1,2020/04/08 00:00:00,07:00
44,Zamora Chinchipe,0,2020/04/08 00:00:00,07:00
44,Galápagos,1,2020/04/08 00:00:00,07:00
45,Azuay,6,2020/04/09 00:00:00,07:00
45,Bolívar,1,2020/04/09 00:00:00,07:00
45,Cañar,3,2020/04/09 00:00:00,07:00
45,Carchi,0,2020/04/09 00:00:00,07:00
45,Chimborazo,14,2020/04/09 00:00:00,07:00
45,Cotopaxi,5,2020/04/09 00:00:00,07:00
45,Imbabura,2,2020/04/09 00:00:00,07:00
45,Loja,0,2020/04/09 00:00:00,07:00
45,Pichincha,17,2020/04/09 00:00:00,07:00
